mp-6480,324.849,324.52405589837605,mp-17477,138.296,-13.93526778417504
mp-1249282,182.378,183.1160516185717,mp-6172,323.073,324.22141005870503
mp-37405,64.571,64.5204169172869,mp-1045776,131.085,4.688684939175339
mp-631551,388.613,388.224776554826,mp-1257684,111.928,-1.3649457349782701e-12
mp-1041577,125.364,125.51306449118393,mp-16722,61.377,-0.0009196967767203622
mp-3747,413.17,412.8477148949365,mp-1345463,633.226,20.5552082835498
mp-1248275,159.856,159.9158743540247,,,
mp-756851,412.391,409.8230600387078,,,
mp-1041645,124.771,125.2554738519511,,,
mp-1157674,317.62,318.00917843455903,,,
mp-1041685,138.249,137.93924052956302,,,
mp-1045487,303.278,302.70909596398263,,,
mp-4979,173.296,173.15387209064355,,,
mp-560917,204.879,204.74551661127026,,,
mvc-11882,236.069,235.8459111772771,,,
mp-1133344,203.352,203.22188513959068,,,
mp-1253012,162.619,163.08093237394496,,,
mp-505623,396.728,398.8934590666177,,,
mp-1197460,94.499,94.41049521390394,,,
mp-1045600,133.767,133.68699651660256,,,
mp-1042304,138.306,137.83573812045302,,,
mp-1045491,294.923,294.17530854968084,,,
mp-510321,95.807,95.72232597413621,,,
mp-1042107,113.807,113.91785883393072,,,
mp-34234,151.717,163.02020933055974,,,
mp-34728,147.661,147.5201218298027,,,
mp-1045632,90.909,90.858551968986,,,
mp-6186,317.17,315.8842649152069,,,
mp-37621,303.023,290.1727015587858,,,
mp-1042105,140.176,140.09110404771786,,,
mp-1389151,470.422,470.0222917167399,,,
mp-1359741,162.619,174.84317847325474,,,
mp-19456,416.901,416.4849438887598,,,
mp-34782,308.407,308.2952096328229,,,
mp-1252778,159.628,147.9654349343291,,,
mp-3861,120.499,120.66632610041052,,,
mp-1048148,236.069,235.833172635156,,,
mp-1045438,301.217,302.09527748169324,,,
mp-1045744,127.755,127.72518358541814,,,
mp-1045348,294.405,293.81539403764714,,,
mp-1041860,123.65,123.58874565968199,,,
mp-1103718,165.011,165.3476049539032,,,
mp-35267,117.816,117.61472199288971,,,
mp-753184,384.995,384.62285534667166,,,
mp-1257650,113.427,113.31521133684979,,,
